priority,score,table,column,data_type,nullable,null_pct,row_count,in_model,in_serializer,in_views
HIGH,55,la_spatial_unit_sketch_ref,avl_status,boolean,NO,100.0,0,True,False,False
HIGH,55,la_spatial_unit_sketch_ref,doc_owner,integer,YES,100.0,0,True,False,False
HIGH,55,messages,msg_id,integer,NO,100.0,0,True,False,False
HIGH,55,messages,date_sent,timestamp with time zone,NO,100.0,0,True,False,False
HIGH,55,messages,subject,character varying,NO,100.0,0,True,False,False
HIGH,55,messages,view_status,boolean,NO,100.0,0,True,False,False
HIGH,55,messages,date_viewed,timestamp with time zone,YES,100.0,0,True,False,False
HIGH,55,messages,done_status,boolean,NO,100.0,0,True,False,False
HIGH,55,messages,hide_status,boolean,NO,100.0,0,True,False,False
HIGH,55,messages,user_id_receiver,integer,NO,100.0,0,True,False,False
HIGH,55,messages,user_id_sender,integer,NO,100.0,0,True,False,False
HIGH,55,reminders,rmd_id,integer,NO,100.0,0,True,False,False
HIGH,55,reminders,reminder_type,character varying,NO,100.0,0,True,False,False
HIGH,55,reminders,date_remind,timestamp with time zone,NO,100.0,0,True,False,False
HIGH,55,reminders,done_status,boolean,NO,100.0,0,True,False,False
HIGH,55,reminders,hide_status,boolean,NO,100.0,0,True,False,False
HIGH,55,reminders,user_id_creator,integer,NO,100.0,0,True,False,False
HIGH,55,residence_info,res_id,integer,NO,100.0,0,True,False,False
HIGH,55,residence_info,resident_type,character varying,NO,100.0,0,True,False,False
HIGH,55,residence_info,user_added_date,timestamp with time zone,NO,100.0,0,True,False,False
HIGH,55,residence_info,start_date,timestamp with time zone,YES,100.0,0,True,False,False
HIGH,55,residence_info,expiry_date,timestamp with time zone,YES,100.0,0,True,False,False
HIGH,55,survey_rep_func_history,tool,character varying,NO,100.0,0,True,False,False
HIGH,55,survey_rep_func_history,user_remark,text,YES,100.0,0,True,False,False
HIGH,55,tags,tag_id,integer,NO,100.0,0,True,False,False
HIGH,55,tags,tag_type,character varying,NO,100.0,0,True,False,False
HIGH,55,tags,active_status,boolean,NO,100.0,0,True,False,False
HIGH,55,tags,deleted_user,character varying,YES,100.0,0,True,False,False
HIGH,55,tags,date_deleted,timestamp with time zone,YES,100.0,0,True,False,False
HIGH,55,tags,user_id_creator,integer,NO,100.0,0,True,False,False
HIGH,55,test_list,my_party_id,integer,NO,100.0,0,True,False,False
HIGH,55,user_user,date_joined,timestamp with time zone,NO,0.0,15,False,False,False
MEDIUM,45,Inquiries,content,text,YES,100.0,0,True,False,True
MEDIUM,45,LADM_rrr,share_type,character varying,NO,100.0,0,True,False,True
MEDIUM,45,attrib_panel_images,image_id,integer,NO,100.0,0,True,False,True
MEDIUM,45,authtoken_token,key,character varying,NO,0.0,10,False,False,True
MEDIUM,45,dynamic_attribute,created_by,integer,YES,100.0,0,True,False,True
MEDIUM,45,history_party_attrib,field_name,character varying,NO,100.0,0,True,False,True
MEDIUM,45,history_party_attrib,field_value,character varying,NO,100.0,0,True,False,True
MEDIUM,45,la_ba_unit_spatial_unit,relation_type,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_ls_apt_unit,house_hold_no,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_ls_apt_unit,roof_type,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_ls_apt_unit,wall_type,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_ls_ils_unit,house_hold_no,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_ls_ils_unit,roof_type,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_ls_ils_unit,wall_type,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_mortgage,interest,numeric,YES,100.0,0,True,False,True
MEDIUM,45,la_mortgage,mortgage_type,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_mortgage,mortgage_ref_id,character varying,YES,100.0,0,True,False,True
MEDIUM,45,la_spatial_unit_sketch_ref,sketch_ref_id,integer,NO,100.0,0,True,False,True
MEDIUM,45,la_spatial_unit_sketch_ref,approval_status,boolean,NO,100.0,0,True,False,True
MEDIUM,45,messages,content,text,NO,100.0,0,True,False,True
MEDIUM,45,reminders,content,text,YES,100.0,0,True,False,True
MEDIUM,45,tags,content,text,YES,100.0,0,True,False,True
MEDIUM,40,assessment,ass_out_balance,numeric,YES,100.0,10697,True,True,True
MEDIUM,40,la_admin_source,reference_no,character varying,YES,100.0,106,True,True,True
MEDIUM,40,la_admin_source,acceptance_date,date,YES,100.0,106,True,True,True
MEDIUM,40,la_admin_source,exte_arch_ref,character varying,YES,100.0,106,True,True,True
MEDIUM,40,la_admin_source,source_description,text,YES,100.0,106,True,True,True
MEDIUM,40,la_ls_land_unit,postal_ad_lnd,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,ext_landuse_sub_type,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,land_name,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,registration_date,date,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,local_auth,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,adjacent_parcels,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,child_parcels,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,parent_parcel,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_land_unit,part_of_estate,character varying,YES,100.0,3576,True,True,True
MEDIUM,40,la_ls_utinet_lu,sani_sewer,character varying,YES,100.0,10698,True,True,True
MEDIUM,40,la_rrr_responsibility,ba_unit_id,integer,YES,100.0,6,True,True,True
MEDIUM,40,la_rrr_restriction,ba_unit_id,integer,YES,100.0,7,True,True,True
MEDIUM,40,la_sp_fire_rescue,description,text,YES,100.0,3,True,True,True
MEDIUM,40,la_spatial_unit,parcel_status,character varying,YES,99.9,10748,True,False,True
MEDIUM,40,sl_party,pmt_address,character varying,YES,100.0,6,True,True,True
MEDIUM,40,sl_party,tp,ARRAY,YES,100.0,6,True,True,True
MEDIUM,40,sl_party,specific_tp,character varying,YES,100.0,6,True,True,True
MEDIUM,40,sl_party,other_reg,ARRAY,YES,100.0,6,True,True,True
MEDIUM,40,sl_party,remark,text,YES,100.0,6,True,True,True
MEDIUM,40,sl_party,la_party_type,character varying,YES,100.0,6,True,True,True
MEDIUM,40,sl_party,sl_party_type,character varying,YES,100.0,6,True,True,True
MEDIUM,40,sl_party,gnd_id,integer,YES,100.0,6,True,True,True
MEDIUM,40,survey_rep,ref_ids,integer,YES,100.0,3574,True,True,True
MEDIUM,40,survey_rep_geom_history,ref_id,integer,YES,100.0,3615,True,True,True
MEDIUM,40,survey_rep_geom_history,reference_coordinate,character varying,YES,100.0,3615,True,True,True
MEDIUM,40,test_json,geom,USER-DEFINED,YES,100.0,6,True,True,True
MEDIUM,40,test_list,permission_name,character varying,NO,100.0,0,True,True,False
MEDIUM,30,Inquiries,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,Inquiries,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,LADM_rrr,rrr_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,LADM_rrr,share,numeric,NO,100.0,0,True,True,True
MEDIUM,30,LADM_rrr,admin_source_id,integer,YES,100.0,0,True,True,True
MEDIUM,30,LADM_rrr,ba_unit_id,integer,YES,100.0,0,True,True,True
MEDIUM,30,LADM_rrr,pid,integer,YES,100.0,0,True,True,True
MEDIUM,30,attrib_panel_images,user_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,attrib_panel_images,file_path,character varying,YES,100.0,0,True,True,True
MEDIUM,30,attrib_panel_images,status,boolean,NO,100.0,0,True,True,True
MEDIUM,30,attrib_panel_images,remark,character varying,YES,100.0,0,True,True,True
MEDIUM,30,attrib_panel_images,date_created,timestamp with time zone,NO,100.0,0,True,True,True
MEDIUM,30,attrib_panel_images,su_id,integer,NO,100.0,0,True,True,True
MEDIUM,30,dynamic_attribute,id,integer,NO,100.0,0,True,True,True
